"year","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"selection",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"feedback",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"hierarchy",0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"graphics",6,7,11,0,10,0,8,10,19,17,16,0,7,0,0,0,0,0,0,0,0
"query",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"speed",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isosurface",0,5,0,0,0,0,0,0,11,0,0,6,0,5,6,0,0,0,0,0,0
"relationships",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"visualization",22,40,39,37,34,35,33,37,43,52,51,36,30,32,33,28,26,25,20,19,32
"feature detection",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"graph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"texture",0,0,9,7,9,7,7,7,13,12,13,6,0,0,0,0,0,0,0,0,0
"vector fields",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scientific visualization",0,7,9,6,0,8,7,7,0,0,0,0,0,0,0,0,0,0,3,0,0
"systems",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"flow visualization",0,5,0,0,0,0,0,0,0,12,0,0,7,0,0,5,5,0,0,4,0
"transfer function",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0
"framework",0,0,0,7,0,0,0,0,0,0,0,9,9,5,8,7,8,0,10,4,8
"texture mapping",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2d",0,0,11,9,0,0,0,0,0,0,16,6,0,7,9,0,10,6,0,4,0
"volume visualization",0,0,0,0,6,7,0,0,0,0,0,7,0,0,0,0,0,0,4,4,0
"design",6,6,7,9,10,0,0,0,0,13,0,7,5,6,0,7,5,6,6,5,8
"techniques",13,12,20,17,14,17,24,16,21,22,24,17,18,15,17,14,12,12,6,6,11
"surfaces",7,7,0,13,0,10,7,0,0,0,10,0,0,5,7,5,5,5,0,4,0
"tensor",0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0
"space",6,0,5,7,11,9,0,8,8,0,0,7,8,6,11,6,8,0,6,0,12
"integration",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"volume rendering",5,9,11,0,8,10,14,14,21,15,22,13,8,6,12,8,8,8,6,4,6
"reconstruction",0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,3,0,0
"evaluation",0,0,0,0,0,0,0,0,0,0,0,6,0,6,9,0,0,7,5,0,6
"3d",6,9,18,15,12,14,11,15,18,22,21,11,9,12,20,10,14,8,7,12,13
"multivariate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"graphics hardware",4,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0
"modeling",0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"topology",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"comparison",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"interaction",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"data visualization",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"geometry",0,0,0,0,0,0,0,11,9,10,0,0,7,0,0,0,0,0,0,0,0
"uncertainty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
"simulation",5,0,0,0,7,7,0,10,0,11,0,10,0,0,7,8,10,9,5,0,0
"context",0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,4,0
"time-varying",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6
"visualization techniques",0,0,0,0,6,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0
"multiresolution",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"user study",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"features",9,0,8,7,0,7,11,7,8,12,9,13,12,13,13,7,11,5,0,10,7
"color",0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0
"vector field",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"sampling",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"rendering",14,15,22,12,17,22,21,28,23,26,36,21,19,15,15,16,9,10,0,6,9
"meshes",0,0,0,0,0,7,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"size",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"simplification",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"system",9,16,14,12,12,9,13,0,10,21,17,13,11,10,10,11,9,11,5,6,14
"memory",0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gpu",0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,6,0,0,0,0,0
"volumetric data",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"isosurfaces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"hierarchical",0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"real-time",0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0
"visualization system",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"exploration",0,6,8,0,7,0,7,0,0,0,0,0,0,10,9,8,8,6,6,4,7
"distribution",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"display",5,0,0,9,9,13,10,9,0,0,0,0,0,0,0,0,0,0,0,4,0
"interactive",13,16,15,8,15,18,20,21,19,22,20,20,15,17,12,16,16,12,10,6,15
"process",0,0,5,0,8,0,7,0,8,0,9,0,0,5,0,9,6,7,0,4,7
"flow",0,8,9,7,8,7,0,0,11,14,15,0,10,0,6,8,12,7,7,4,11
"surface",9,10,13,14,8,12,21,19,15,14,16,11,10,9,8,7,0,6,0,6,0
"hardware",0,0,6,0,0,0,0,0,10,10,10,0,0,0,0,5,0,0,0,0,0
"feature",0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,8,5,0,0,5,0
"maps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"ensemble",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7
"accuracy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"models",0,8,0,9,0,13,0,9,0,0,13,0,0,0,0,0,0,5,0,0,0
"sets",6,0,7,11,0,10,8,9,10,10,10,11,6,6,0,0,7,0,6,4,0
"mapping",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mesh",0,0,9,7,9,8,10,15,8,8,0,7,0,0,0,0,0,0,0,0,0
"representation",4,9,9,0,8,0,8,7,9,9,9,6,9,5,7,5,7,5,0,0,9
"data",31,35,34,36,34,37,31,31,38,47,46,32,24,30,32,28,25,28,19,24,31
"parallel",0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0
"structure",0,6,6,7,8,10,0,11,10,18,11,0,0,0,0,0,8,5,0,0,7
"tracking",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"subdivision",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"algorithm",15,14,17,17,11,24,22,18,18,21,16,9,12,9,9,7,8,7,8,6,0
"medical",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0
"lines",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"analysis",8,8,0,9,0,7,12,7,0,0,13,11,7,14,14,15,19,14,13,12,26
"complexity",0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0
"points",0,0,0,0,0,0,7,7,8,10,9,0,6,8,0,0,0,0,0,5,0
"algorithms",8,10,8,8,6,6,8,11,12,0,0,0,0,0,7,0,0,5,0,4,6
"time",11,13,6,11,11,12,8,9,9,12,12,9,6,0,12,0,8,11,0,5,7
"direct volume rendering",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"visualizations",0,0,0,0,0,0,0,8,0,0,9,7,7,8,0,0,6,5,4,0,9
"model",8,8,12,9,0,11,10,10,0,15,11,7,10,10,0,9,0,11,5,0,10
