year	selection	feedback	hierarchy	graphics	query	speed	isosurface	relationships	visualization	feature detection	graph	texture	vector fields	scientific visualization	systems	flow visualization	transfer function	framework	texture mapping	2d	volume visualization	design	techniques	surfaces	tensor	space	integration	volume rendering	reconstruction	evaluation	3d	multivariate	graphics hardware	modeling	topology	comparison	interaction	data visualization	geometry	uncertainty	simulation	context	time-varying	visualization techniques	multiresolution	user study	features	color	vector field	sampling	rendering	meshes	size	simplification	system	memory	gpu	volumetric data	isosurfaces	hierarchical	real-time	visualization system	value	exploration	distribution	display	interactive	process	flow	surface	hardware	feature	maps	ensemble	accuracy	models	sets	mapping	mesh	representation	data	parallel	structure	tracking	subdivision	algorithm	medical	lines	analysis	complexity	points	algorithms	time	direct volume rendering	visualizations	model
1995	4	0	0	6	0	5	0	0	22	0	0	0	0	0	6	0	0	0	0	0	0	6	13	7	0	6	4	5	0	0	6	0	4	0	0	0	5	0	0	0	5	0	0	0	0	0	9	0	0	4	14	0	0	0	9	0	0	0	0	0	0	0	0	0	0	5	13	0	0	9	0	0	0	0	0	0	6	0	0	4	31	0	0	0	0	15	0	0	8	0	0	8	11	0	0	8
1996	0	0	0	7	0	0	5	0	40	0	0	0	0	7	0	5	0	0	0	0	0	6	12	7	0	0	0	9	5	0	9	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	16	0	0	0	0	0	5	0	0	6	0	0	16	0	8	10	0	0	0	0	0	8	0	6	0	9	35	5	6	0	0	14	0	0	8	0	0	10	13	0	0	8
1997	0	0	0	11	0	0	0	0	39	0	0	9	0	9	0	0	0	0	0	11	0	7	20	0	0	5	0	11	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	22	0	0	0	14	6	0	0	0	0	0	0	6	8	0	0	15	5	9	13	6	0	0	0	0	0	7	0	9	9	34	0	6	0	0	17	0	0	0	0	0	8	6	0	0	12
1998	0	0	0	0	0	0	0	0	37	0	0	7	0	6	0	0	0	7	0	9	0	9	17	13	0	7	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	12	0	0	0	12	6	0	0	0	7	0	7	0	0	0	9	8	0	7	14	0	0	0	0	0	9	11	0	7	0	36	0	7	0	0	17	0	0	9	0	0	8	11	0	0	9
1999	0	0	0	10	0	0	0	0	34	0	0	9	6	0	0	0	0	0	0	0	6	10	14	0	0	11	0	8	0	0	12	0	0	0	0	0	0	0	0	0	7	0	0	6	7	0	0	0	0	0	17	0	7	0	12	6	0	0	0	0	0	0	0	7	0	9	15	8	8	8	0	0	0	0	0	0	0	0	9	8	34	0	8	0	0	11	0	0	0	0	0	6	11	0	0	0
2000	0	0	0	0	0	0	0	0	35	0	0	7	0	8	0	0	0	0	6	0	7	0	17	10	0	9	0	10	0	0	14	0	0	0	7	0	0	0	0	0	7	0	0	0	0	0	7	0	0	0	22	7	0	0	9	0	0	0	0	0	0	0	0	0	0	13	18	0	7	12	0	0	0	0	0	13	10	0	8	0	37	0	10	0	0	24	0	0	7	0	0	6	12	0	0	11
2001	0	0	0	8	0	0	0	0	33	0	0	7	0	7	0	0	0	0	0	0	0	0	24	7	0	0	0	14	0	0	11	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	21	9	0	0	13	0	0	0	0	0	0	0	0	7	0	10	20	7	0	21	0	0	0	0	0	0	8	0	10	8	31	0	0	0	7	22	0	0	12	0	7	8	8	7	0	10
2002	0	0	0	10	0	0	0	0	37	0	0	7	0	7	0	0	0	0	0	0	0	0	16	0	0	8	0	14	0	0	15	0	0	0	0	0	0	0	11	0	10	0	0	0	0	0	7	0	0	0	28	0	0	7	0	0	0	0	0	8	0	0	0	0	0	9	21	0	0	19	0	0	0	0	0	9	9	0	15	7	31	0	11	0	0	18	0	0	7	0	7	11	9	0	8	10
2003	0	0	8	19	0	0	11	0	43	0	0	13	0	0	0	0	9	0	0	0	0	0	21	0	0	8	0	21	0	0	18	0	8	0	0	0	0	0	9	0	0	0	0	0	0	0	8	0	0	0	23	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0	19	8	11	15	10	0	0	0	0	0	10	0	8	9	38	0	10	0	0	18	0	0	0	0	8	12	9	0	0	0
2004	0	0	0	17	0	0	0	0	52	0	0	12	0	0	0	12	0	0	0	0	0	13	22	0	0	0	0	15	0	0	22	0	9	0	0	0	0	12	10	0	11	0	0	9	0	0	12	0	10	0	26	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	22	0	14	14	10	0	0	0	0	0	10	0	8	9	47	0	18	0	0	21	0	0	0	0	10	0	12	0	0	15
2005	0	0	0	16	0	0	0	0	51	0	0	13	0	0	0	0	0	0	0	16	0	0	24	10	10	0	0	22	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	36	0	0	0	17	0	10	0	0	0	0	0	0	0	0	0	20	9	15	16	10	0	0	0	0	13	10	0	0	9	46	0	11	0	0	16	0	9	13	0	9	0	12	0	9	11
2006	0	0	0	0	0	0	6	0	36	0	0	6	0	0	0	0	0	9	0	6	7	7	17	0	6	7	0	13	0	6	11	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	13	0	0	0	21	0	0	0	13	0	0	7	0	0	0	0	0	0	0	0	20	0	0	11	0	0	0	0	0	0	11	0	7	6	32	0	0	0	0	9	0	0	11	0	0	0	9	0	7	7
2007	0	0	0	7	0	0	0	0	30	5	0	0	0	0	0	7	0	9	0	0	0	5	18	0	0	8	0	8	0	0	9	0	0	0	0	0	0	0	7	0	0	7	0	0	0	0	12	0	0	0	19	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	15	0	10	10	0	6	0	0	0	0	6	0	0	9	24	0	0	0	0	12	0	0	7	6	6	0	6	0	7	10
2008	0	0	0	0	0	0	5	0	32	0	0	0	0	0	0	0	0	5	0	7	0	6	15	5	0	6	0	6	5	6	12	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	13	6	0	0	15	0	0	0	10	0	0	0	0	0	0	0	0	10	0	0	17	5	0	9	0	8	0	0	0	0	6	0	0	5	30	0	0	0	0	9	0	0	14	0	8	0	0	0	8	10
2009	0	0	0	0	0	0	6	0	33	0	0	0	0	0	0	0	0	8	0	9	0	0	17	7	0	11	0	12	0	9	20	0	0	0	0	0	0	0	0	0	7	0	0	7	0	0	13	7	0	0	15	0	0	0	10	0	10	0	8	0	0	0	0	9	0	0	12	0	6	8	0	0	0	0	0	0	0	0	0	7	32	8	0	0	0	9	0	0	14	7	0	7	12	0	0	0
2010	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	5	0	7	0	0	0	7	14	5	0	6	0	8	5	0	10	0	0	0	0	0	7	0	0	0	8	0	0	0	0	0	7	0	0	6	16	0	0	0	11	0	6	0	0	0	0	0	0	8	0	0	16	9	8	7	5	8	0	0	0	0	0	0	0	5	28	0	0	0	0	7	0	0	15	0	0	0	0	7	0	9
2011	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	5	5	8	0	10	0	5	12	5	0	8	0	8	5	0	14	0	0	0	6	0	0	0	0	0	10	0	0	0	0	0	11	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0	8	0	0	16	6	12	0	0	5	0	0	0	0	7	0	0	7	25	0	8	0	0	8	0	0	19	0	0	0	8	0	6	0
2012	0	0	0	0	0	0	0	4	25	0	0	0	0	0	0	0	0	0	0	6	0	6	12	5	0	0	0	8	0	7	8	0	0	0	0	0	0	0	0	0	9	0	0	0	0	5	5	0	0	0	10	0	0	0	11	0	0	0	0	0	0	0	0	6	0	0	12	7	7	6	0	0	0	0	5	5	0	0	0	5	28	0	5	0	0	7	0	0	14	0	0	5	11	0	5	11
2013	0	0	0	0	3	0	0	0	20	0	3	0	0	3	0	0	0	10	0	0	4	6	6	0	0	6	0	6	3	5	7	0	0	0	0	6	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	6	0	0	10	0	7	0	0	0	0	5	0	0	6	0	0	0	19	5	0	0	0	8	5	0	13	0	0	0	0	0	4	5
2014	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	4	0	4	0	4	4	5	6	4	0	0	0	4	0	0	12	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	10	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	4	0	4	6	4	4	6	0	5	6	0	0	0	4	0	0	0	24	0	0	0	0	6	4	0	12	0	5	4	5	0	0	0
2015	0	7	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	8	0	0	0	8	11	0	0	12	0	6	0	6	13	6	0	0	0	0	0	0	0	6	0	0	6	0	0	0	7	0	0	0	9	0	0	0	14	0	0	0	0	0	0	0	0	7	7	0	15	7	11	0	0	0	0	7	0	0	0	0	0	9	31	0	7	6	0	0	0	0	26	0	0	6	7	0	9	10